,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
10,그루시우스,Grussius,,,프랑스,랑그독-루씨옹,블랙베리,"치즈, 스테이크",-,-,14.5 %,1,3,4,3,갸닛색의 뉘앙스와 아름다운 붉은 색 빛깔과 풍부한 향을 가지고 있으며 특히 블랙베리 및 그윽한 우드향이 특징이다. 풍만하고 실크처럼 부드러운 타닌이 매혹적인 느낌으로 입안을 감싸 안으며 진한 과일향의 긴 여운이 상당히 훌륭하다.,
11,"쿠지노 마쿨, 안티구아스 리제르바 메를로","Cousino Macul, Antiguas Reserva Merlot",40000.0,,칠레,마이포 밸리,"자두, 자두","치즈, 칠면조, 파스타",-,-,14 %,1,3,3,3,"진한 보라빛의 색상을 띠고 신선하고 풍부한 자두의 향에 더해진 싱그러운 나무향이 느껴지며 미디엄 바디, 잘 익은 자두의 느낌에 균형잡힌 산도와 부드러운 타닌감을 가진 와인이다.

안티구아스는 쿠지노 마쿨의 시그니처 레인지다. 1920년부터 80년이 넘는 시간동안 쿠지노 마쿨을 대표하는 이름으로 널리 알려져 왔으며 꾸준한 품질 유지로 와인스펙테이터로부터 ‘안티구아스야말로 진정한 칠레 와인이다’이라는 찬사를 받은 바 있다. 이 와인은 쿠지노 마쿨의 2대 생산자인 루이스 쿠지노가 자신의 와이너리에 방문하는 귀빈을 대접하기 위해 소량으로 생산한 와인이 점차 인기를 끌게 되어 대중적인 생산으로 이어진 유래가 있다. 특히 안티구아스 레인지는 로버트 파커로부터 대부분의 와인들이 90점이상을 기록하고 있으며, 안티구아스 까베르네 소비뇽의 경우 4년 연속 파커 포인트 90+를 기록하며 쿠지노 마쿨의 명성을 대표하고 있다. 현재, 델타항공 퍼스트 클래스에서 서브되고 있다.",
12,"샤또 드 깔비에르, 말리뇨","Chateau de Calvieres, Maligno",70000.0,,프랑스,랑그독-루씨옹,"후추, 바닐라","쇠고기, 스테이크, 송아지, 양고기",-,4,13 %,1,3,4,3,"루비처럼 풍성하고 따스한 느낌의 짙은 붉은색을 지닌 와인으로 농축된 느낌의 강렬한 검은 과일 향과 함께, 부드러운 발사믹 소스와 어우러진 남 프랑스의 검정 올리브 퓨레를 연상시킨다. 숯불에 살짝 구운듯한 부드럽고 우아한 바닐라와 후추 향, 생동감 넘치지만 우아한 타닌의 정밀한 구조감을 오랫동안 느낄 수 있고, 입안에서 실크처럼 부드럽게 다가오지만 매우 풍부하고 솔직하며, 힘이 넘치는 와인이다. 15년간 보관하며 마실 수 있다.",
13,파고 드 시르서스 싱글 빈야드 오크 에이지드,Pago de Cirsus Single Vineyard Oak Aged,33000.0,,스페인,나바라,"석류, 블루베리, 블랙베리, 토스트, 건초","치즈, 미트, 파스타",-,-,,1,3,4,3,"푸른빛이 감도는 석류빛 레드 색을 띠고 검은 베리류, 블루베리, 토스트, 건초 향이 느껴지며 바디감이 풍부하면서도 신선한 블루베리와 블랙베리의 과일향을 지닌 와인이다.",
14,꼬또 데 이마스 그랑 레세르바,Coto de Imaz Gran Reserva,81000.0,,스페인,리오하,"낙엽, 가죽",양고기,-,4,13.5 %,1,3,4,4,"수 많은 복잡 미묘한 향이 단계적으로 드러나는데, 검붉은 과일 향을 기본으로 가죽, 낙엽, 토양, 담뱃잎, 구운 햄 등의 부케가 살아 움직이듯이 느껴지는 것이 인상적이다. 흥미로운 아로마와 부케가 비강을 통해 느껴짐과 동시에 장기간 숙성된 풀-바디 와인이 해를 거듭하면서 변화하는 동안 줄 수 있는 성숙한 질감이 입 안 전체에 은은히 퍼진다.",
15,"코노 수르, 20 배럴 샤도네이","Cono Sur, 20 Barrels Chardonnay",80000.0,,칠레,카사블랑카 밸리,"배, 복숭아, 미네랄","치즈, 연어, 돼지, 양고기",-,4,13.5 %,1,3,4,1,"연둣빛이 감도는 노랑색을 띠고 있으며 자몽, 라임의 산뜻하고 달콤한 과일 향과 우아한 흰 꽃 아로마, 토스티한 오크와 아몬드 향이 차례로 레이어된다. 입 안에서 집중도 높은 과일 풍미와 일정 수준의 산미, 입맛을 돋우는 미네랄리티가 잘 만든 고급 화이트 와인의 특성을 보여준다. 손으로 수확한 포도로 양조해 90%는 프랑스산 새 오크배럴에서, 10%는 달걀 모양의 콘크리트 통에서 8개월 숙성한다.

코노 수르 20배럴 시리즈는 1996년 최고의 피노 누아를 엄선해 20배럴 분량만 한정적으로 만들며 탄생한 ‘리미티드 에디션’ 브랜드다. 세계적인 성공을 거둔 후 포도품종을 확대해 현재는 까베르네 소비뇽(1997년 론칭), 메를로(1998년 론칭), 샤르도네(2002년 론칭), 소비뇽 블랑(2005년 론칭), 시라(2008년 론칭) 등 다양한 버전을 선보이고 있다.",
16,"슐로스 폴라즈, 카비넷","Schloss Vollrads, Kabinett",65000.0,,독일,라인가우,"살구, 꽃, 파인애플","잡채, 초밥",-,4,8~9 %,2,5,3,1,"골드 옐로우 컬러의 리즐링 와인으로 살구, 파인애플, 봄꽃 향과 같은 다채로운 특징이며, 구조 감이 좋고 균형 잡힌 산도가 일품이다. 카비넷 라인가우는 스위트 리슬링(62.2g/L) 와인이다.",
17,아마티스타 모스카토 로제 스파클링,Amatista Moscato Rose Sparkling,35000.0,스파클링,스페인,,"디저트, 피자, 샐러드",,-,-,5 %,4,1,2,1,"옅은 붉은 빛과 붉은 분홍색깔을 가지고 있고, 후레쉬한 과일향과 풍부한 아로마 향이 아주 좋은 느낌을 전달해준다. 적당한 스파클링과 크리미한 맛을 가지고 있고 상큼한 과일맛과 단맛이 어울러져 모스카토의 과일맛이 풍부하고 가르나차의 레드의 피니쉬도 가지고 있다. 5도의 약한 알코올도 약간의 산미를 증가해 준다.",
18,"투핸즈, 엔젤스 쉐어 쉬라즈","Two Hands, Angels' Share Shiraz",50000.0,,호주,맥라렌 베일,"자두, 자두, 블루베리, 블랙베리, 허브, 오크","스테이크, 육류요리, 양갈비",-,4,15 %,2,4,4,4,"블루베리, 블랙베리, 서양자두의 진한 아로마와 은은한 화이트 페퍼 향이 감도는 와인으로, 풍부하면서도 실키한 질감의 맥라렌 베일 지역 쉬라즈의 클래식한 스타일을 잘 보여준다. 블루베리 파이처럼 농축된 풍미와 라운디하게 다듬어진 타닌의 촘촘한 맛, 말린 허브와 달콤한 향신료 향이 어우러진 긴 여운을 느낄 수 있다.

마세라시옹 과정을 통해 즙을 얻은 것(free run), 이후에 다시 압착(pressing)한 즙을 함께 사용한다. 12개월 간 오크 숙성을 거치는데, 대부분의 와인은 1~6년 된 프랑스 및 미국산 오크통에서, 6% 가량의 일부 와인은 프랑스산 새 오크통에서 숙성한다.

신선한 맛을 즐기려면 지금 마셔도 좋고 취향에 따라 수확연도로부터 5~10년 더 숙성해도 좋다.

픽쳐 시리즈는 와이너리 오너의 친구이자 포토그래퍼인 Don Brice의 폴라로이드 작품으로 라벨을 디자인해 잔잔한 감동을 주는 와인이다.",
19,"산타헬레나, 베르누스 블렌드","Santa Helena, Vernus Blend",60000.0,,칠레,마이포 밸리,"배, 자두, 자두, 체리, 육두구, 오크","치즈, 육류요리, 파스타",-,3.2,14.5 %,1,3,4,3,"담배향, 육두구 열매나 계피 등의 약간 달콤한 향신료향이 복합적인 아로마를 자아낸다. 체리와 서양자두를 비롯한 각종 붉은 과일의 진한 맛과 향이 지속적으로 이어지며 견고한 바디감을 느낄 수 있다. 끝맛에서 말린 과일과 오크향이 어우러져 매력적인 여운을 남긴다.

4월 중순 수확되어 질 좋은 포도만을 선별한 뒤 5일 동안 약 6 ‘C 의 온도(상온)에서 침용과정을 거침. 약 24‘ C 의 온도를 유지하며 7일의 발효과정을 거친 뒤 숙성과정 전에 다시 한번 10일 동안 침용과정을 진행한 뒤 두번째 사용한 프렌치 오크통에서 12개월 숙성한다.",
20,모젤 크리스마스 리슬링,Mosel Christmas Riesling,,,독일,모젤-자르-루버,"복숭아, 시트러스","과일, 말린과일",-,3.5,10.5 %,3,5,2,1,"복숭아, 시트러스류의 아로마가 기분 좋게 느껴지며, 달콤하고 상큼한 미감이 부드럽게 조화되어 편하게 즐길 수 있는 와인이다.
SMW 크리스마스 와인 시리즈는 팬시한 병 모양과 와인의 품질까지 우수하여 유럽과 일본에서 크게 인기를 얻고 있는 제품이다. 달콤하고 사랑스러운 와인으로 선물용이나 연인, 가족과 함께 즐기기 좋은 와인이다.",
21,"닥터 루젠, 리슬링 스파클링","Dr.Loosen, Riesling Sparkling",48000.0,스파클링,독일,모젤-자르-루버,"사과, 복숭아, 레몬",,-,-,11~12 %,3,5,2,1,"오랜전 부터 독일에서 젝트라 불리우던 독일전통의 스파클링 느낌으로 닥터루젠에서는 새롭게 스파클링 와인을 선보입니다. 닥터루젠 스파클링은 리슬링100%로 생산되는 스파클링 와인입니다. 또한 샤르마 방식으로 인하여 고품격의 와인을 조금더 이상적인 가격으로 소비자에게 선보이게 되었습니다. 레몬빛에 반짝이는 기포감이 매력적이며, 복숭아와 풋사과등 분홍빛과 연두빛색을 지니고 있는 다양한 과일의 향을 집중적으로 느낄 수 있습니다.",
22,"알타 비스타, 프리미엄 말벡","Alta Vista, Premium Malbec",48000.0,,아르헨티나,멘도사,오크,,-,2.7,13.6 %,1,4,4,4,,"
Mayflower
2021.03.14
2018 빈티지
4.0
양고기 허브솔트와 마리아주"
23,"두르뜨, 뉘메로 엥 루즈","Dourthe, Numero 1 Rouge",51000.0,,프랑스,보르도,딸기,"육류요리, 햄, 베이컨, 피자, 햄버거, 파스타",-,3,13~14 %,1,3,3,3,"윤기가 흐르는 가넷의 붉은 빛을 띠고 붉은 딸기류 과일향이 진하고 향기롭다. 집약된 과실의 맛이 느껴지며, 부드러운 탄닌의 매끄러운 질감과 균형 잡힌 구조감을 지닌 와인이다.

두르뜨 뉘메로 엥은 ‘보르도 와인의 기준’이라고 할 수 있을 정도로 보르도의 특성을 가장 잘 나타내주는 와인이다. 품질-혁신-완벽함을 추구하며 1988년 출시되었다. 세계적인 와인메이커 미셸롤랑(두르뜨 뉘메로 엥 루즈)과 데니스뒤보르디유(두르뜨 뉘메로 엥 블랑)의 양조 컨설팅을 통해 탄생되었으며, 세계 와인 전문가들 및 언론의 만장일치로 보르도 동 가격대의 브랜드 와인 중 최고의 품질로써 인정 받아왔다. 톰 스티븐슨의 저서, 소더비즈 와인 엔사이클로페디아에서 ‘보르도 최고 판매고를 올리는 보르도 제네릭 와인’이라 평가받은 바 있다.",
24,"플라네타, 플럼바고","Planeta, Plumbago",30000.0,,이탈리아,시칠리아,"자두, 자두, 블랙베리, 꽃, 초콜릿, 오크, 타르",육류요리,-,3.7,13.5 %,1,3,4,3,,"
보안필수
2019.10.15
2017 빈티지
2.0
오픈직후 피어오르는 잘익은 과실향이 인상적이나 한모금하는순간 할퀴는듯한 탄닌이 길들여지지 않은야생의 맹수같은 느낌이다. 몇년의 기간을 두고 마시면 깜짝놀랄만한 녀석으로 변할것같다고 조심스레 예상해본다.
마시자마자 든 느낌은 아주 기름기가 많은 육류와 함께하면 좋을듯하다"
25,에스탐파 리저브 쉬라 아상블라쥬,Estampa Estate Assemblage Syrah Cabernet Sauvignon Merlot,60000.0,,칠레,콜차구아 밸리,"배, 오크",,-,-,14.7 %,1,3,4,4,"2009년은 아주 특별한 기후 때문에 유닉한 개성을 가지고 있다. 쉬라 특유의 퍼플 레드칼라와 여러 과일들의 아로마가 겹쳐져 있으며 잘익은 과일맛과 약간의 스파이시 함이 있다. 쉬라 베이스과 까쇼와 멜롯의 맛이 더해져 아주 흥미롭다.

400kg의 바구니에 담겨져 온 포도들을 잎사귀제거 및 압축과정을 거치고 발효전에 8도의 3일간 침용 과정을 거친다. 펌프 오버 과정을 거친 뒤 25~28eeh의 발효를 시작하고 다시 펌프오버를 하루에 4번 진행한다. 이후 다시 젖산발효과정을 거 친 후 프랑스와 미국 오크 배럴에서 숙성과정을 거친다.

와인의 85%는 80%의 프렌치 오크와 20%의 미국 오크통에서 각각 10개월 동안 숙성되어 진다. 나머지 15%는 스테인레스 스틸에서 10개월 숙성되고 전기간 동안 3번의 클린과 디캔팅 과정을 거친다.",
26,"루이스 엠 마티니, 나파 밸리","Louis M. Martini, Napa Valley",,,미국,나파 밸리,"체리, 정향, 감초, 오크, 카라멜, 삼나무","치즈, 스테이크, 등심, 안심, 바비큐, 야채",95점,2.5,,1,4,4,4,"진한 버건디 색상,블랙 베리, 감초, 삼나무 아로마, 오크 뉘앙스와 블랙 체리의 조화로운 맛이 느껴지며, 부분적으로 정향, 바닐과, 카라멜의 힌트가 있다. 미디엄에서 풀 바디 사이에 있으며, 구조감과 균형감이 좋아 단 맛이 살짝 느껴지는 중간부와 길게 지속되다 과일의 힌트로 마무리되는 피니시가 인상적이다.",
27,"꼰차 이 또로, 마르께스 까사 콘차 까르미네르","Concha y Toro, Marques Casa Concha Carmenere",,,칠레,페우모,"치즈, 스테이크, 등심, 안심, 바비큐, 야채",,-,-,14.5 %,1,3,3,3,,
28,"빌라 마리아, 셀러 셀렉션 소비뇽 블랑","Villa Maria, Cellar Selection Sauvignon Blanc",48000.0,,뉴질랜드,말보로,"구즈베리, 감귤","치즈, 가금류, 과일",-,4,13~14 %,1,5,3,1,짚 색을 띄며 감귤 잎사귀의 풋풋함과 구즈베리의 신선한 향이 느껴지고 입안은 묵직함과 긴 여운을 남긴다.,
29,무버즈 피노 누아,Moobuzz Pinot Noir,,,미국,캘리포니아,"체리, 딸기, 토스트, 열대과일","치즈, 피자, 파스타, 샐러드, 버섯",-,3,13.5 %,2,4,4,3,"가벼운 레드빛을 띠고, 체리향, 토스트, 신선한 딸기 향이 잔을 가득채운다. 다양한 열대과일 맛과 기분좋은 타닌을 마무리에서 느낄 수 있는 와인이다. 압착한 후 온도 조절이 되는 스테인레스 스틸 탱크에서 발효한다.","
양진원
2013.08.07
2011 빈티지
3.0
진지하면서도 위트가 넘치는 흥미로운 와인. 오레곤을 제외한 미국와인의 특성상 75%이상 사용된 주품종은 레이블에 명시할 수 있는 와인법에 따라 분명 피노누아 이외의 다른 품종이 블렌딩 된 것 같은데 감을 잡을 수 없었다. 찾아보니 글로벌~한 블렌딩. 딸기, 섬세한 체다치즈, 바닐라, 캬라멜 등의 밝은 이미지의 아로마 뒤에 보여지는 우아한 빨레는 이러한 블렌딩의 마법인것 같기도 하다. 우연히 견과류와 함께했는데 크렌베리,캐슈넛과의 시너지 효과가 꽤나 좋았다. 호두는 껍질이 탄닌과 충돌해 에러:)"
30,"브라이다, 몬테브루나 바르베라 다스티","Braida, Montebruna Barbera d'Asti",70000.0,,이탈리아,아스티,체리,,-,3.5,14 %,1,4,3,3,"갓 익어 아삭아삭한 소리가 날 것만 같은 붉은 햇과일, 체리의 풍부한 맛과 풀 바디감의 조화가 돋보이는 와인이며 입 안에서 감도는 여운이 길게 지속되며 우아함과 밸런스가 잘 느껴지는 와인이다.",
31,"안델루나, 알티튜드 말벡","Andeluna, Altitud Malbec",,,아르헨티나,멘도사,"바닐라, 꽃, 초콜릿, 오크",,-,3,,1,3,4,4,"진한 바이올렛 느낌의 색상을 띠고, 야생과일과 꽃향기, 오크숙성으로 나타나는 바닐라와 초콜릿향이 느껴진다. 입안에서 부드러운 타닌감을 주며 균형이 잘 잡혀 있고 풀바디의 느낌을 전해주는 와인이다.

아르헨티나 최고높이라고 할 수 있는 멘도자 투풍가토의 1300미터 고지에서 생산된 포도로 만들어진 와인이다. 이 지역은 매우 넓은 폭의 기온차를 보여주는데 이로 인하여 진한 향과 맛을 얻어 낼 수 있으며 자연적으로 집중도 높은 포도로 장기 숙성이 가능하다. 12개월간 프렌치 오크통에서 숙성. 8개월간 병숙성 후 출시되었다.",
32,"반 폭셈, 자르 리슬링","Van Volxem, Saar Riesling",88000.0,,독일,모젤-자르-루버,"복숭아, 살구, 꽃, 미네랄","중국음식, 한식, 조개구이, 새우, 생선회",-,3.4,12 %,2,4,3,1,"살구와 복숭아 계열의 잘 익은 과일향과 섬세한 꽃의 아로마 향이 나며, 입안에서 미네랄 느낌과 산미에서 오는 신선한과 생동감과 함께 부드러운 실크의 질감을 보여주는 와인이다.",
33,"게르슈테커, 크리스트 킨들스 글루바인","Gerstacker, Christkindles Gluhwein",39000.0,,독일,뉘른베르크,"치즈, 견과류",,-,5,8.5 %,3,4,4,2,"병에서 적당량을 주전자나 전기포트에 덜어 70도 정도 따끈하게 데워서 먹으면, 진한 계피향과 과일향을 느낄 수 있는 와인이다.

[글뤼바인 맛있게 즐기기]
-병에서 적당량을 주전자나 전기포트에 덜어 70도 정도 따끈하게 데워 진한 계피향과 과일의 달콤한 맛을 음미하며 즐긴다.
-병의 나머지 분량은 마개를 닫아 서늘한 곳에 보관 가능.
-끓이면 알콜이 날아가니 주의.
-더욱 진한 알콜 맛을 원하면 소량의 꼬냑이나 브랜디 첨가.

[글뤼바인이 필요할 때]
-겨울 야외스포츠(스키,산행,골프 등)시 언 몸을 풀어줄 따뜻한 알콜 음료를 원할때,
-감기 기운이 있을 때,
-잠들기 전 숙면을 위한 따뜻한 한 잔이 생각날때,
-소중한 분께 따뜻한 선물이 필요할 때,
-특히 겨울 야외나들이 시 보온병에 담은 글뤼바인과 함께하면 더욱 행복!

“추운 겨울, 따뜻한 힐링와인으로 소중한 분과 훈훈함을 나누세요!”","
정성묵
2017.05.31
NV 빈티지
5.0
만들어 먹는 뱅쇼는 그때그때 맛도 다르고 잘못해서 끓기라도 하면 맛이 틀어지는데 크리스트 킨들스는 병째 데워 마시면 온기가 퍼지고 맛 역시 튀는곳 없이 무난해서 좋았다.
마무리로 올라오는 상큼한 과일맛이 일품
정인영
2013.12.17
NV 빈티지
5.0
전반적으로 산뜻하고 깔끔한 맛~
너무 강하지도 약하지도 않은 바디감과 산미....매우 괜찮았음
그냥 데워만 마셔도 좋겠지만 레몬 조각을 살짝 띄워서 마시니 더욱 맛있었는듯..^^"
34,"피에르 가이야르, 생 조셉 루즈","Pierre Gaillard, Saint-Joseph Rouge",90000.0,,프랑스,생-죠셉,"라스베리, 토스트",,-,3.5,13~14 %,1,3,5,4,"블랙 베리, 라스베리와 같은 과일 향에 토스트와 약간의 스모키한 느낌이 맑고 투명하게 느껴지면서도 잘 익은 과일 맛을 충분히 표현하고 있다. 백악질의 떼루아가 와인에 후레쉬한 느낌으로 잘 드러나 있는 깔끔한 스타일의 북부 론 레드 와인이다.",
35,"로클랜드, 초콜릿 박스 스파클링 쉬라즈","Rocland, Chocolate Box Sparkling Shiraz",38000.0,스파클링,호주,바로사 밸리,"자두, 자두, 감초, 오크","초콜릿, 칠면조, 딸기, 소시지",-,4,14 %,2,2,4,3,"진한 루비색 띠고, 검은 과실류 향이 주를 이루며, 라즈베리와 자두 향도 느낄 수 있다. 입 안에서는 매우 부드러운 타닌과 함께 바닐라 풍미가 느껴지며, 초콜릿을 입힌 딸기를 먹는듯한 느낌을 주고 탄산, 타닌감, 과실 풍미가 함께 신선함을 주는 와인이다.",
36,"샤또 푸에슈오, 프레스티지 루즈","Chateau Puech Haut, Prestige Rouge",108000.0,,프랑스,랑그독-루씨옹,"석류, 자두, 자두, 딸기","치즈, 등심, 양고기",-,4.2,,1,3,4,4,"검붉은 석류색을 띠며 산딸기, 키르쉬(버찌), 자두, 나무초목 향등의 아로마가 조화롭게 퍼지고, 복합적이고, 응축되어 있는 깊이 있는 질감과 풍부한 과즙의 목넘김인 좋은 와인이다.",
37,제나토 꼬르미 꼬르비나 메를로,Zenato Cormi Corvina Merlot,70000.0,,이탈리아,베네토,"체리, 블랙베리, 후추, 꽃","치즈, 스테이크, 등심, 안심, 바비큐, 야채",-,-,14 %,1,3,4,3,"루비 레드 빛과 블랙베리, 블랙 체리와 같은 잘 익은 붉은 과일향과 꽃향, 흰 후추향이 조화롭고 꼬르비나 품종 특유의 신선함과 풍부한 미네럴 느낌을 표현하며, 메를로의 풍부함과 달콤한 느낌이 조화를 이룬다. 매끄러운 탄닌과 부드러운 질감의 우아한 느낌을 제공하는 풀바디의 와인이다.",
38,오미로제 스파클링 와인,Omija Sparkling Wine,99000.0,스파클링,대한민국,문경,,,-,-,12 %,2,4,3,2,"유기농 오미자를 3년이상 숙성하여 만들었으며, 향긋한 붉은 과일의 섬세한 버블이 코를 자극한다. 첫 맛은 새콤달콤하고, 뒤이어 다시 한번 향긋한 맛이 입안 전체를 감싼다. 목넘김과 함께 모든 갈증이 사라지고, 긴 자연의 향기가 여운으로 남는다.",
39,샤플렛 샤르도네,Chappellet Chardonnay,165000.0,,미국,나파 밸리,"배, 사과, 복숭아, 살구, 모과, 정향, 바닐라, 육두구, 토스트, 레몬, 라임, 오렌지","조개구이, 참치",-,4,14~15 %,1,3,4,1,"옅은 노란빛을 띠며, 오렌지, 라임, 레몬, 배, 사과, 정향,육두구, 바닐라, 프렌치 오크숙성을 통해 느껴지는 토스트 향이 두드러지게 나타나며, 크림 같이 부드러운 미감을 느낄 수 있다. 잘 익은 복숭아, 살구, 모과 그리고 뛰어난 산도로 인해 와인의 맛이 더욱 알차게 느껴지고 설탕에 절인 파파야와 파인애플의 과일향이 풍부한 와인이다.",
40,로즈 마운트 O,Rosemount O,,,호주,사우스 오스트레일리아,"디저트, 식전주, 과일, 샐러드",,-,-,9 %,4,2,2,1,"옅은 짚색을 띠고, 달콤하고 풍성한 과일향에서 산도와 당도의 적절한 조화를 이루고 가벼운 탄산과 함께 느껴지는 상쾌한 맛이 특징적이다

얼음과 함께 마시는 독특한 신개념 와인으로 와인이름의 'O'는 물이 어는 온도와 와인을 잔에 따랐을때 올라오는 기포의 모양에서 따왔다.",
