Index,한글 이름,영문 이름,포스팅 제목,포스팅 본문,와인 소개 제목,와인 소개 본문,해시태그
10,"드 샹세니, 크레망 드 루아르 브뤼",De Chanceny Crémant de Loire Brut,와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",미국 내 루아르 크레망 판매 1위 브랜드,"루아르 크레망을 대표하는 드 샹세니는 미국에서 루아르 크레망 중 판매율 1위를 차지할 만큼 큰 사랑을 받고 있는 브랜드다. 1957년 정립된 루아르 크레망의 전통적인 제조기법에 따라 뛰어난 품질의 와인을 생산하는 드 샹세니의 와인이 최근 국내에 처음으로 수입되기 시작했다. 슈냉 블랑, 샤르도네, 카베르네 프랑을 블렌딩한 이 와인은 각 품종의 신선함과 우아함이 조화를 이뤄 세련된 복합미를 느낄 수 있다. 촘촘한 기포와 싱그러운 과실 풍미, 부드럽게 지속되는 여운이 매력적이다.",
11,"조셉 데뤼에, 뀌베 시그니처","Joseph Desruets, Cuvée Signature",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",오빌레 마을에서 온 프리미엄 샴페인,"조셉 데뤼에는 1888년 상파뉴 지역의 진주라 불리는 오빌레(Hautvillers) 마을에서 시작된 샴페인 하우스다. 2차 세계대전 후 본격적으로 조셉 데뤼에의 이름으로 샴페인을 생산했고 현재 6대손과 7대손이 가업을 이어가고 있다. 이 와인은 조셉 데뤼에의 시그니처 샴페인으로 잘 익은 사과와 꿀, 꽃의 달콤한 아로마와 함께 버터, 브리오슈 같은 고소한 아로마가 올라온다. 긴 여운을 자랑하는 프리미엄 샴페인이며 국제적으로도 높은 평가를 받고 있다.",
12,"샴페인 드라피에, 블랑 드 콰투아","Champagne Drappier, Blanc de Quattuor",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",네 가지 품종으로 빚어낸 친환경 샴페인,"1808년 첫 출시 이후 8대에 이어 가족 경영으로 운영되는 부티크 샴페인 하우스 드라피에는 친환경 재배와 양조 방식으로 와인을 생산하며, 식물성 잉크를 사용한 레이블과 재활용 가능한 보틀 등 모든 면에서 친환경을 추구한다. 드라피에는 피노 누아를 지역에서 처음으로 도입하기도 했는데, 블랑 드 콰투아는 지역 내 사라져가는 토착 품종과 샤르도네를 블렌딩했다. 4중주를 의미하는 이름의 의미처럼 아르반, 쁘띠 메슬리에, 피노 블랑, 샤르도네를 25%씩 사용해 네 가지 서로 다른 품종이 빚어낸 아름다운 향기와 버블이 인상적인 샴페인이다.",
13,"피케라스, 와일드 퍼멘티드 베르데호","Piqueras, Wild Femented Verdejo",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",스페인 알만사 지역의 유기농 화이트,"세련된 아로마와 산미의 조화가 매력적인 화이트 와인이다. 스페인 알만사(Almansa) 지역에 자리한 보데가스 피케라스는 100년이 넘는 시간 동안 가족 경영으로 전통을 이어오고 있는 와이너리. 모든 와인 생산 과정에 유기농법을 적용하며 알만사 지역의 토착 품종을 사용해 현대적이고 우아한 스타일의 와인을 생산한다. 손수확한 베르데호 100%로 만든 와인으로 잘 익은 열대과실과 미네랄, 삼나무의 아로마가 느껴진다. 생선요리나 해산물에 곁들이기 좋은 와인으로 가성비도 뛰어나다.",
14,제프 까렐 쁠랑라뷔,Plein La Vue by Geff Carrel,와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",상큼하고 신선한 시트러스 풍미,"독창적인 레이블로 한눈에 시선을 끄는 이 와인은 제프 까렐이 랑그독 루씨옹 지역에서 100% 소비뇽 블랑으로 생산한 유기농 와인이다. 제프 까렐은 평론가들에게 극찬을 받으며 남프랑스 와인의 천재 양조가로 불리는 인물이다. 플랑라뷔(Plein La Vue)는 ‘근사하다’는 의미로, 새의 부리로도 느낄 수 있을 만큼 강한 아로마를 레이블로 표현했다. 상큼한 시트러스와 과실의 파워풀한 아로마가 돋보이는 신선한 와인으로 기분 좋은 피니시를 남긴다. 와인만 즐겨도 좋고 샐러드나 해산물과 함께 즐겨도 잘 어울린다.",
15,"드럼헬러, 샤도네이","Drumheller, Chardonnay",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",강렬한 워싱턴 스타일의 화이트 와인,1만 5천 년 전 빙하기 때 일어난 대홍수로 생성된 콜롬비아 계곡의 드럼헬러 수로의 이름을 딴 드럼헬러는 워싱턴 최초의 와이너리인 생 미셸 와인 에스테이트에서 생산하는 와인이다. 미국 워싱턴주 콜롬비아 밸리에서 샤도네이로 생산한 이 와인은 복숭아와 사과 등의 과실향과 미네랄 노트를 느낄 수 있으며 산뜻한 산도를 갖췄다. <와인 스펙테이터(Wine Spectator)>가 선정한 ‘Top Value’와 ‘Best Value’ 와인에 오르는 등 평론가와 매체로부터 좋은 평가를 얻고 있다. 워싱턴주의 뛰어난 와인 스타일을 확인할 수 있는 와인이다.,
16,"아멜리아 파크, 리저브 샤도네이","Amelia Park, Reserve Chardonnay",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",호주 신흥 와이너리의 프리미엄 화이트,"서호주의 마가렛 리버(Margaret River)에 자리한 아멜리아 파크는 호주의 신흥 와이너리로 주목 받고 있다. 와인평론가 제임스 할리데이(James Halliday)로부터 ‘5 Red Stars’를 수상했고 각종 와인대회에서 16개의 트로피와 300개 이상의 메달을 휩쓸 정도로 우수한 품질을 인정 받고 있는 와이너리다. 자몽, 감귤꽃의 아로마와 생생한 미네랄이 느껴지는 이 와인은 당도와 산도의 밸러스가 뛰어나며 장기숙성도 가능한 프리미엄 샤도네이다.",
17,"피노소, 코스타 알리칸테 로제","Pinoso, Costa Alicante Rosado",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",알리칸테의 개성을 담은 유기농 로제,"스페인 알리칸테 지방에서 모나스트렐 100%로 생산한 유기농 로제 와인으로 신선하고 향긋한 산딸기 향이 특징이다. 레이블은 스페인의 유명한 여름 휴양지인 알리칸테 해변의 관광객을 모티브로 디자인한 것으로, 와인의 온도가 12℃ 이하로 내려가면 그림 속 관광객이 햇볕에 태닝된 피부로 변한다. 딸기, 라즈베리의 아로마와 은은한 꽃향기가 느껴지며 새콤한 과실 풍미와 적당한 산미의 균형감이 뛰어나다. 파스타나 떡볶이, 과일 등에 가볍게 곁들이기 좋고 생선 요리와도 잘 어울린다.",
18,"마크 웨스트, 피노 누아","Mark West, Pinot Noir",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",피노 누아에 진심인 마크 웨스트의 대표작,"캘리포니아의 마크 웨스트 와이너리는 피노 누아의 대중화를 위해 노력해온 와이너리다. 온도 변화에 민감하고 재배하기 까다로운 품종인 피노 누아로 뛰어난 품질의 와인을 생산하기 위해 50년 이상 열정을 쏟아왔으며, 산타루시아 하이랜드, 러시안 리버 밸리, 카네로스 등 여러 곳의 빈야드에서 포도를 수확해 차별화된 피노 누아를 생산한다. 마크 웨스트의 대표작이라 할 만한 이 와인은 체리, 자두, 딸기 등의 과실향과 부드러운 타닌이 조화롭다. 가벼운 바디감으로 편안한 느낌을 선사하면서도 섬세하고 우아한 스타일이다.",
19,"스몰타운 빈야드, 클로벨라","Smalltown Vineyards, Clovella",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",마타로와 그르나슈의 강렬한 레드 블렌드,"호주의 스몰타운 빈야드는 바로사 밸리를 대표하는 아트와인 컬렉션으로 꼽힌다. 1993년, 쉬라즈로 가득한 바로사 밸리에 남부 론을 대표하는 무르베드르와 그르나슈를 메인으로 새로운 바람을 불어넣은 도전적이고 매력적인 21세기형 와이너리다. 레이블은 강렬한 색채와 디자인으로 한 번 보면 잊을 수 없을 만큼 깊은 인상을 남기며, 70%의 마타로와 30%의 그르나슈를 블렌딩해 맛 또한 강렬한 풍미를 선사한다. 생동감 넘치는 과실 아로마와 이국적인 향신료의 뉘앙스가 어우러지는 풀 바디 레드 와인이다.",
20,"엠 샤푸티에, 데샹트 생 조셉 ‘아티스트 레이블’","M.Chapoutier, Deschants Saint Joseph",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",예술작품과 함께 즐기는 론 와인,"론 와인의 명가이자 바이오다이내믹 농법의 선두주자로 꼽히는 엠 샤푸티에 와이너리에서 생산한 데샹트 생 조셉 아티스트 레이블은 최근 주목 받고 있는 아티스트 장 마리아 작가와의 컬래버레이션으로 탄생했다. 깊은 색감을 지닌 작가의 작품 일부를 레이블에 적용해 와인을 마시며 예술적 감성까지 충전할 수 있도록 했다. 이 와인은 엠 샤푸티에의 포트폴리오 중 기본이자 중심적인 레인지로 시라 100% 와인이다. 꽃 향기와 함께 감초향과 향신료 아로마, 그리고 레드베리류의 풍미가 돋보인다.",
21,"샤또 롱보, 리브잘트 앙브레","Château Rombeau, Rivesaltes Ambre",와인21닷컴이 선정한 8월 이달의 와인,"무더위가 이어지는 8월, 일상에 리프레쉬가 되어줄 것들이 필요하다. 매월 주목할 만한 와인들을 소개하는 와인21닷컴이 8월에는 최근 국내에 수입되기 시작한 신규 와인들을 이달의 와인으로 선정했다. 이미 많은 사람들에게 익숙한 대형 와이너리에서 출시한 새로운 와인도 있고 최근 주목 받는 와이너리로 떠오른 도전적인 생산자의 와인도 있다. 예전에 한국에 수입됐지만 이번에 다시 런칭하는 와인도 있다.

샴페인부터 주정강화 와인까지 총 12종으로, 그 어느 때보다 다양한 와인들을 소개한다. 와인계의 뉴페이스들을 만나며 더위를 잊고 새로운 맛과 향을 발견하는 즐거움을 누려보자.",견과류와 건과일의 풍미가 매력적인 주정강화 와인,"샤또 롱보는 프랑스 루시옹 지역, 특히 VDN 생산지로 유명한 리브잘트(Rivesaltes)에 위치한 와이너리다. 리브잘트 앙브레는 주정강화 와인으로 오크 캐스크에서 48개월 동안 숙성시켜 자연적인 호박색을 띠는 것이 특징이다. 아몬드, 그릴 견과류, 삼나무, 오렌지 껍질, 말린 과일의 복합미와 성숙미가 향기롭다. 집중도 있는 숙성 감미와 견과류의 향으로 건과일과 잘 어울리며, 특히 무화과가 올라간 디저트와 즐기면 멋진 페어링을 경험할 수 있다. 6~8℃의 차가운 온도로 칠링해 즐길 것을 추천한다.",
22,오텔로 네로 디 람브루스코,Othello Nero di Lambrusco,무더운 날 칠링해서 마시기 좋은 레드 와인은?,"더운 여름날엔 얼음을 채운 아이스 버킷에 차갑게 칠링한 화이트 와인이 떠오르죠. 그런데 레드 와인은 그렇게 마시면 안 되는 걸까요? 물론 그렇진 않습니다. 화이트 와인이나 스파클링 와인만 칠링한다는 건 고정관념일 뿐이죠. 

한여름에 레드 와인을 마시고 싶다면 쾌적한 분위기에서 적당히 칠링해 즐겨보세요. 그리 무겁지 않은 스타일의 레드 와인들을 잘 골라서 말이죠. 무더운 날씨에도 충분히 그 매력을 발하는 레드 와인들을 소개합니다.",산뜻한 람브루스코의 매력,"고급스러운 병 모양이 인상적인 이 와인은 여름에 즐기기 좋은 스파클링 레드 와인입니다. 이탈리아의 칸티네 체치(Cantine Ceci) 와이너리가 에밀리아 로마냐 지역에서 람브루스코 100%를 사용해 생산했어요. 딸기, 라즈베리, 블랙베리의 향을 느낄 수 있고 신선하고 산뜻한 타닌감 덕분에 더운 날씨에도 간단한 음식에 곁들여 부담없이 즐길 수 있죠. 알이탈리아 항공의 비즈니스 클래스에 공급하는 유일한 람브루스코 와인인 만큼 품질도 믿음직스럽습니다.",
23,"파미 아르보, 일 레 데 노트르 가메","Famille Arbeau, Il est des Noootres Gamay",무더운 날 칠링해서 마시기 좋은 레드 와인은?,"더운 여름날엔 얼음을 채운 아이스 버킷에 차갑게 칠링한 화이트 와인이 떠오르죠. 그런데 레드 와인은 그렇게 마시면 안 되는 걸까요? 물론 그렇진 않습니다. 화이트 와인이나 스파클링 와인만 칠링한다는 건 고정관념일 뿐이죠. 

한여름에 레드 와인을 마시고 싶다면 쾌적한 분위기에서 적당히 칠링해 즐겨보세요. 그리 무겁지 않은 스타일의 레드 와인들을 잘 골라서 말이죠. 무더운 날씨에도 충분히 그 매력을 발하는 레드 와인들을 소개합니다.",포도의 특징을 순수하게 표현한 와인,"가메이 품종도 여름에 즐기기 좋은 레드 와인이에요. 이 와인은 프랑스 남서부 프론튼(Fronton) 지역에 자리한 파미 아르보 와이너리에서 생산했어요. 포도 고유의 성향을 그대로 표현하기 위해 노력하는 생산자로, 화학첨가물을 최소화해 테루아를 깊고 풍성하게 담아내고 있습니다. 딸기와 라즈베리 등의 과실 아로마를 풍부하게 즐길 수 있고 바디감이 가벼워 더운 날에도 편하게 즐기기 좋아요. 치즈와 스테이크에 곁들이면 잘 어울리고 토마토를 사용한 요리와도 좋은 궁합을 보여줍니다.",
24,"카잘 파르네토, 라크리마","Casal Farneto, Lacrima",무더운 날 칠링해서 마시기 좋은 레드 와인은?,"더운 여름날엔 얼음을 채운 아이스 버킷에 차갑게 칠링한 화이트 와인이 떠오르죠. 그런데 레드 와인은 그렇게 마시면 안 되는 걸까요? 물론 그렇진 않습니다. 화이트 와인이나 스파클링 와인만 칠링한다는 건 고정관념일 뿐이죠. 

한여름에 레드 와인을 마시고 싶다면 쾌적한 분위기에서 적당히 칠링해 즐겨보세요. 그리 무겁지 않은 스타일의 레드 와인들을 잘 골라서 말이죠. 무더운 날씨에도 충분히 그 매력을 발하는 레드 와인들을 소개합니다.",부드러운 타닌과 산뜻한 산미,이탈리아 마르케 지역에 자리한 카잘 파르네토는 모든 포도밭을 유기농으로 관리하는 자연친화적 와이너리예요. 지속 가능한 시스템을 갖추고 프리미엄 와인 생산에 주력하고 있죠. 마르케 지역의 토착품종인 라크리마 100%로 생산한 이 와인은 장미 계열의 플로럴 풍미가 압도적입니다. 부드러운 타닌과 적절한 산미가 조화롭게 어우러져 여름철에 잘 어울리는 가볍고 산뜻한 스타일이에요. 살짝 칠링해서 차갑게 마시면 무더운 날씨에 생동감 넘치는 느낌을 받을 수 있을 거예요.,
25,"페드라롱가, 도우미아","Pedralonga, DoUmia",무더운 날 칠링해서 마시기 좋은 레드 와인은?,"더운 여름날엔 얼음을 채운 아이스 버킷에 차갑게 칠링한 화이트 와인이 떠오르죠. 그런데 레드 와인은 그렇게 마시면 안 되는 걸까요? 물론 그렇진 않습니다. 화이트 와인이나 스파클링 와인만 칠링한다는 건 고정관념일 뿐이죠. 

한여름에 레드 와인을 마시고 싶다면 쾌적한 분위기에서 적당히 칠링해 즐겨보세요. 그리 무겁지 않은 스타일의 레드 와인들을 잘 골라서 말이죠. 무더운 날씨에도 충분히 그 매력을 발하는 레드 와인들을 소개합니다.",리아스 바이사스 지역의 신선한 레드 와인,"분홍빛 잎이 그려진 모던한 디자인의 레이블이 시선을 끄는 이 와인은 스페인의 리아스 바이사스 지역에서 생산된 레드 와인입니다. 멘시아, 카이노 틴토, 에스파데이로 3가지 품종을 블렌딩했어요. 꽃 향기와 신선한 과실 아로마가 매력적인 와인으로 리아스 바이사스 지역 특유의 신선한 풍미를 즐길 수 있습니다. 와인을 이제 막 즐기기 시작한 이들부터 애호가들까지 두루 만족시킬 만한 와인이에요.",
26,자나 상그리아,Jana Sangria,무더운 날 칠링해서 마시기 좋은 레드 와인은?,"더운 여름날엔 얼음을 채운 아이스 버킷에 차갑게 칠링한 화이트 와인이 떠오르죠. 그런데 레드 와인은 그렇게 마시면 안 되는 걸까요? 물론 그렇진 않습니다. 화이트 와인이나 스파클링 와인만 칠링한다는 건 고정관념일 뿐이죠. 

한여름에 레드 와인을 마시고 싶다면 쾌적한 분위기에서 적당히 칠링해 즐겨보세요. 그리 무겁지 않은 스타일의 레드 와인들을 잘 골라서 말이죠. 무더운 날씨에도 충분히 그 매력을 발하는 레드 와인들을 소개합니다.",스페인 대표 품종으로 생산한 상그리아,"여름철 더위를 식히기 위해서는 청량한 느낌을 선사하는 상그리아를 추천합니다. 스페인에서 패키징 혁신을 일으키며 다양한 형태의 와인을 선보여온 와인인튜브가 스페인을 대표하는 템프라니요와 가르나차 품종을 블렌딩해 생산한 상그리아입니다. 오렌지, 레몬, 열대과일 등의 달콤하고 상큼한 풍미를 즐길 수 있고, 얼음을 넣어 더 시원하게 마셔도 좋죠. 무더위에 가볍게 즐기기 좋은 와인을 찾는다면 더없이 좋은 선택입니다.",
27,알레냐 리제르바 까바 브뤼,Alenya Reserva Cava Brut,삼계탕과 잘 어울리는 와인은?,"보양식의 계절이 돌아왔어요. 이제 막 초복이 지나갔고 아직 두 번의 복날이 더 기다리고 있습니다. 무더위에 기력이 떨어지기 전에 보양식을 챙겨 먹으며 건강 관리를 해야 할 시기예요. 

여름 보양식 중에서도 가장 인기 있는 메뉴는 삼계탕이죠. 더운 여름날 삼계탕을 먹으며 반주를 찾는 이들에게 권하고 싶은 술은 바로 와인입니다. 집에서 간편식으로 즐기는 삼계탕이든 특급호텔에서 보양식 메뉴로 내놓은 삼계탕이든 잘 어울리는 와인 한 잔을 곁들이면 훌륭한 페어링이 될 수 있어요. 삼계탕의 국물과 육질은 물론이고 특유의 인삼 풍미와도 잘 어우러지는 와인들을 추천합니다.",기분 좋은 산미와 토스티한 끝맛,"삼계탕의 담백한 육질과 진한 국물맛에 잘 어울리는 와인으로 청량한 느낌의 스파클링 와인을 추천합니다. 이 와인은 스페인 북부 카탈루냐에 자리한 보데가스 콘카빈스(Bodegas Concavins) 와이너리가 생산한 까바입니다. 페네데스 지역에서 마카베오와 자렐로, 빠레야다 품종을 블렌딩했죠. 풍부한 기포와 감귤류, 살구, 망고, 바나나 등의 열대과실 향이 가득해 식전주로도 잘 어울리고 삼계탕에 곁들이면 기분 좋은 산미가 입안을 깔끔하게 해줍니다.",
28,"코노 수르, 싱글 빈야드 샤르도네","Cono Sur, Single Vineyard Chardonnay",삼계탕과 잘 어울리는 와인은?,"보양식의 계절이 돌아왔어요. 이제 막 초복이 지나갔고 아직 두 번의 복날이 더 기다리고 있습니다. 무더위에 기력이 떨어지기 전에 보양식을 챙겨 먹으며 건강 관리를 해야 할 시기예요. 

여름 보양식 중에서도 가장 인기 있는 메뉴는 삼계탕이죠. 더운 여름날 삼계탕을 먹으며 반주를 찾는 이들에게 권하고 싶은 술은 바로 와인입니다. 집에서 간편식으로 즐기는 삼계탕이든 특급호텔에서 보양식 메뉴로 내놓은 삼계탕이든 잘 어울리는 와인 한 잔을 곁들이면 훌륭한 페어링이 될 수 있어요. 삼계탕의 국물과 육질은 물론이고 특유의 인삼 풍미와도 잘 어우러지는 와인들을 추천합니다.",엄선한 샤르도네로 만든 싱글 빈야드 와인,"남미 대륙에서 세계적인 와이너리로 성장한 칠레 와인 브랜드 코노 수르는 친환경 생산을 실천하는 와이너리로도 잘 알려져 있죠. 꾸준히 사랑 받고 있는 이 와인은 코노 수르에서 샤르도네 100%로 생산한 화이트 와인이에요. 가장 좋은 구획의 포도만 엄선해 테루아를 강조하며 품종의 매력을 극대화한 싱글 빈야드 시리즈입니다. 자몽, 라임, 파인애플, 흰 꽃 향이 어우러지며 배럴 숙성을 최소화해 신선한 풍미를 잘 살린 덕분에 담백하면서도 깊은 맛을 내는 삼계탕과도 잘 어울려요. 경쾌한 산미와 우아한 미네랄의 여운을 즐겨보세요.",
